# cctext perf results
# date=2026-08-28T01:21:01Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
# note: jump_1m / wrap_1m / insert_mid / newline_mid are 1 MiB into every file
# note: jump_50pct is g+50% (line_floor + island; no prefix line_of)
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        238560     233.0 KiB
cctext                   476920     465.7 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
3M         1.5 MiB       3.1 MiB
8G         1.5 MiB       6.1 MiB
2Gjson     3.5 MiB       6.3 MiB
#
# size       op              ms
# ------------------------------------------------
3M         open           0.006
3M         scroll_40      0.040
3M         wrap_40        0.077
3M         jump_1m        0.453
3M         jump_50pct     0.004
3M         wrap_1m        0.872
3M         insert_bof     0.083
3M         insert_eof     0.077
3M         insert_mid     0.096
3M         newline_mid    0.098
3M         close          0.001
8G         open           0.006
8G         scroll_40      0.039
8G         wrap_40        0.084
8G         jump_1m        0.448
8G         jump_50pct     0.005
8G         wrap_1m        0.772
8G         insert_bof     0.076
8G         insert_eof     0.082
8G         insert_mid     0.079
8G         newline_mid    0.087
8G         close          0.001
2Gjson     open           0.007
2Gjson     scroll_40      0.050
2Gjson     wrap_40        0.316
2Gjson     jump_1m        0.408
2Gjson     jump_50pct     0.004
2Gjson     wrap_1m        0.879
2Gjson     insert_bof     0.072
2Gjson     insert_eof     0.074
2Gjson     insert_mid     0.073
2Gjson     newline_mid    0.065
2Gjson     close          0.000
#
# pins (regression): testdata/perf/baseline.env
