# cctext perf results
# date=2026-08-20T23:22:42Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
# note: jump_1m / wrap_1m / insert_mid / newline_mid are 1 MiB into every file
# note: jump_50pct is g+50% (line_floor + island; no prefix line_of)
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        140944     137.6 KiB
cctext                   434008     423.8 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
3M         1.5 MiB       2.6 MiB
8G         1.5 MiB       2.6 MiB
2Gjson     3.4 MiB       4.5 MiB
#
# size       op              ms
# ------------------------------------------------
3M         open           0.006
3M         scroll_40      0.041
3M         wrap_40        0.057
3M         jump_1m        0.606
3M         jump_50pct     0.002
3M         wrap_1m        0.774
3M         insert_bof     0.079
3M         insert_eof     0.075
3M         insert_mid     0.077
3M         newline_mid    0.083
3M         close          0.000
8G         open           0.005
8G         scroll_40      0.038
8G         wrap_40        0.052
8G         jump_1m        0.523
8G         jump_50pct     0.002
8G         wrap_1m        0.812
8G         insert_bof     0.089
8G         insert_eof     0.076
8G         insert_mid     0.074
8G         newline_mid    0.069
8G         close          0.000
2Gjson     open           0.005
2Gjson     scroll_40      0.045
2Gjson     wrap_40        0.149
2Gjson     jump_1m        0.393
2Gjson     jump_50pct     0.002
2Gjson     wrap_1m        0.662
2Gjson     insert_bof     0.081
2Gjson     insert_eof     0.080
2Gjson     insert_mid     0.073
2Gjson     newline_mid    0.079
2Gjson     close          0.000
#
# pins (regression): testdata/perf/baseline.env
