# cctext perf results
# date=2026-08-27T01:34:35Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
# note: jump_1m / wrap_1m / insert_mid / newline_mid are 1 MiB into every file
# note: jump_50pct is g+50% (line_floor + island; no prefix line_of)
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        218304     213.2 KiB
cctext                   523128     510.9 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
3M         1.5 MiB       2.9 MiB
8G         1.5 MiB       3.1 MiB
2Gjson     3.4 MiB       5.0 MiB
#
# size       op              ms
# ------------------------------------------------
3M         open           0.007
3M         scroll_40      0.041
3M         wrap_40        0.081
3M         jump_1m        0.501
3M         jump_50pct     0.002
3M         wrap_1m        0.844
3M         insert_bof     0.092
3M         insert_eof     0.076
3M         insert_mid     0.100
3M         newline_mid    0.098
3M         close          0.000
8G         open           0.006
8G         scroll_40      0.039
8G         wrap_40        0.080
8G         jump_1m        0.483
8G         jump_50pct     0.002
8G         wrap_1m        0.777
8G         insert_bof     0.075
8G         insert_eof     0.085
8G         insert_mid     0.074
8G         newline_mid    0.088
8G         close          0.000
2Gjson     open           0.006
2Gjson     scroll_40      0.048
2Gjson     wrap_40        0.319
2Gjson     jump_1m        0.416
2Gjson     jump_50pct     0.002
2Gjson     wrap_1m        0.830
2Gjson     insert_bof     0.076
2Gjson     insert_eof     0.085
2Gjson     insert_mid     0.084
2Gjson     newline_mid    0.091
2Gjson     close          0.000
#
# pins (regression): testdata/perf/baseline.env
