# cctext perf results
# date=2026-08-21T21:34:24Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
# note: jump_1m / wrap_1m / insert_mid / newline_mid are 1 MiB into every file
# note: jump_50pct is g+50% (line_floor + island; no prefix line_of)
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        158416     154.7 KiB
cctext                   523576     511.3 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
3M         1.5 MiB       2.7 MiB
8G         1.5 MiB       3.0 MiB
2Gjson     3.4 MiB       4.7 MiB
#
# size       op              ms
# ------------------------------------------------
3M         open           0.007
3M         scroll_40      0.047
3M         wrap_40        0.095
3M         jump_1m        0.549
3M         jump_50pct     0.002
3M         wrap_1m        0.896
3M         insert_bof     0.069
3M         insert_eof     0.080
3M         insert_mid     0.080
3M         newline_mid    0.084
3M         close          0.000
8G         open           0.006
8G         scroll_40      0.040
8G         wrap_40        0.079
8G         jump_1m        0.483
8G         jump_50pct     0.004
8G         wrap_1m        0.791
8G         insert_bof     0.066
8G         insert_eof     0.079
8G         insert_mid     0.078
8G         newline_mid    0.068
8G         close          0.000
2Gjson     open           0.005
2Gjson     scroll_40      0.046
2Gjson     wrap_40        0.280
2Gjson     jump_1m        0.392
2Gjson     jump_50pct     0.002
2Gjson     wrap_1m        0.795
2Gjson     insert_bof     0.073
2Gjson     insert_eof     0.073
2Gjson     insert_mid     0.076
2Gjson     newline_mid    0.086
2Gjson     close          0.000
#
# pins (regression): testdata/perf/baseline.env
