# cctext perf results
# date=2026-09-03T22:22:14Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
# note: jump_1m / wrap_1m / insert_mid / newline_mid are 1 MiB into every file
# note: jump_50pct is g+50% (line_floor + island; no prefix line_of)
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        295472     288.5 KiB
cctext                   537272     524.7 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
3M         1.5 MiB       3.2 MiB
8G         1.5 MiB       3.1 MiB
2Gjson     1.7 MiB       3.2 MiB
#
# size       op              ms
# ------------------------------------------------
3M         open           0.009
3M         scroll_40      0.040
3M         wrap_40        0.104
3M         jump_1m        0.467
3M         jump_50pct     0.004
3M         wrap_1m        0.850
3M         insert_bof     0.073
3M         insert_eof     0.073
3M         insert_mid     0.097
3M         newline_mid    0.073
3M         close          0.000
8G         open           0.008
8G         scroll_40      0.040
8G         wrap_40        0.108
8G         jump_1m        0.468
8G         jump_50pct     0.005
8G         wrap_1m        0.772
8G         insert_bof     0.075
8G         insert_eof     0.074
8G         insert_mid     0.106
8G         newline_mid    0.082
8G         close          0.001
2Gjson     open           0.008
2Gjson     scroll_40      0.049
2Gjson     wrap_40        0.389
2Gjson     jump_1m        0.407
2Gjson     jump_50pct     0.004
2Gjson     wrap_1m        0.951
2Gjson     insert_bof     0.078
2Gjson     insert_eof     0.069
2Gjson     insert_mid     0.068
2Gjson     newline_mid    0.085
2Gjson     close          0.000
#
# pins (regression): testdata/perf/baseline.env
