# cctext perf results
# date=2026-09-01T22:12:24Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
# note: jump_1m / wrap_1m / insert_mid / newline_mid are 1 MiB into every file
# note: jump_50pct is g+50% (line_floor + island; no prefix line_of)
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        277424     270.9 KiB
cctext                   482920     471.6 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
3M         1.5 MiB       3.1 MiB
8G         1.5 MiB       3.2 MiB
2Gjson     1.7 MiB       3.4 MiB
#
# size       op              ms
# ------------------------------------------------
3M         open           0.008
3M         scroll_40      0.051
3M         wrap_40        0.106
3M         jump_1m        0.590
3M         jump_50pct     0.005
3M         wrap_1m        0.970
3M         insert_bof     0.124
3M         insert_eof     0.099
3M         insert_mid     0.089
3M         newline_mid    0.115
3M         close          0.000
8G         open           0.005
8G         scroll_40      0.038
8G         wrap_40        0.075
8G         jump_1m        0.454
8G         jump_50pct     0.004
8G         wrap_1m        0.712
8G         insert_bof     0.068
8G         insert_eof     0.072
8G         insert_mid     0.074
8G         newline_mid    0.091
8G         close          0.000
2Gjson     open           0.009
2Gjson     scroll_40      0.075
2Gjson     wrap_40        0.441
2Gjson     jump_1m        0.619
2Gjson     jump_50pct     0.005
2Gjson     wrap_1m        1.147
2Gjson     insert_bof     0.118
2Gjson     insert_eof     0.108
2Gjson     insert_mid     0.097
2Gjson     newline_mid    0.117
2Gjson     close          0.001
#
# pins (regression): testdata/perf/baseline.env
