# cctext perf results
# date=2026-09-08T20:32:47Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
# note: jump_1m / wrap_1m / insert_mid / newline_mid are 1 MiB into every file
# note: jump_50pct is g+50% (line_floor + island; no prefix line_of)
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        347728     339.6 KiB
cctext                   661128     645.6 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
3M         1.5 MiB       3.3 MiB
8G         1.5 MiB       3.3 MiB
2Gjson     2.0 MiB       3.6 MiB
#
# size       op              ms
# ------------------------------------------------
3M         open           0.016
3M         scroll_40      0.089
3M         wrap_40        0.235
3M         jump_1m        0.893
3M         jump_50pct     0.007
3M         wrap_1m        1.324
3M         insert_bof     0.125
3M         insert_eof     0.111
3M         insert_mid     0.118
3M         newline_mid    0.095
3M         close          0.001
8G         open           0.016
8G         scroll_40      0.089
8G         wrap_40        0.241
8G         jump_1m        0.878
8G         jump_50pct     0.007
8G         wrap_1m        1.205
8G         insert_bof     0.119
8G         insert_eof     0.108
8G         insert_mid     0.099
8G         newline_mid    0.104
8G         close          0.000
2Gjson     open           0.016
2Gjson     scroll_40      0.095
2Gjson     wrap_40        0.720
2Gjson     jump_1m        0.694
2Gjson     jump_50pct     0.006
2Gjson     wrap_1m        1.425
2Gjson     insert_bof     0.107
2Gjson     insert_eof     0.110
2Gjson     insert_mid     0.116
2Gjson     newline_mid    0.104
2Gjson     close          0.001
#
# pins (regression): testdata/perf/baseline.env
